2018/02/15 58164.65    -             -             -          >20.1            -            -          - a
2018/02/18 58167.57    -             -             -          >18.7            -            -          - b
2018/03/07 58184.61    -             -             -          >20.1            -            -          - a
2018/03/11 58188.54    -             -             -           18.51  0.3      -            -          - b
2018/03/11 58188.55    -             -             -             -           19.103 0.029   -          - c
2018/03/11 58188.61    -             -             -           19.21  0.60     -            -          - a
2018/03/14 58191.73  20.004 0.089  19.321 0.084  19.613 0.054  19.051 0.061  18.881 0.103   -          1
2018/03/17 58194.59    -             -           19.52  0.44     -             -            -          - a
2018/03/18 58195.09  19.794 0.074  19.185 0.084  19.558 0.021  18.997 0.052  18.727 0.080   -          2
2018/03/19 58196.59    -             -             -           18.78  0.34     -            -          - a
2018/03/22 58199.12  19.841 0.027  19.140 0.020  19.509 0.011  18.949 0.023  18.896 0.023   -          3
2018/03/22 58199.38  19.868 0.131  19.082 0.078  19.402 0.047  18.919 0.061  18.775 0.080   -          4
2018/03/26 58203.23 >19.6          18.904 0.064  19.314 0.045  18.830 0.048  18.663 0.072   -          5
2018/03/29 58206.50    -             -             -           18.84  0.31     -            -          - a
2018/03/30 58207.11  19.714 0.068  19.089 0.065  19.383 0.064  18.827 0.045  18.716 0.041 18.634 0.075 3
2018/04/05 58213.09  19.830 0.020  19.019 0.010  19.386 0.010  18.858 0.010  18.546 0.049 18.569 0.027 3
2018/04/07 58215.19    -           19.069 0.026  19.465 0.031  18.750 0.050  18.575 0.027 18.479 0.045 3
2018/04/08 58216.16  19.923 0.029  19.068 0.019  19.486 0.010  18.871 0.015  18.652 0.025 18.605 0.041 3
2018/04/11 58219.14  19.934 0.025  19.011 0.011  19.559 0.010  18.876 0.019  18.632 0.030 18.596 0.035 3
2018/04/12 58220.53    -             -             -           18.77  0.10     -            -          - a
2018/04/17 58225.03  20.104 0.042  19.220 0.024  19.590 0.025  18.952 0.024  18.725 0.018 18.574 0.037 3
2018/04/18 58226.10  20.184 0.075  19.224 0.029  19.653 0.018  19.021 0.022  18.773 0.040 18.758 0.051 6
2018/04/18 58226.98    -           19.138 0.104  19.648 0.094  19.039 0.078  19.005 0.135   -          7
2018/04/19 58227.98  20.121 0.175  19.205 0.088  19.736 0.090  18.969 0.099  18.811 0.219   -          7
2018/04/26 58234.13  20.389 0.033  19.563 0.017  19.885 0.025  19.172 0.021  18.899 0.038 18.785 0.043 3
2018/05/01 58239.04  20.584 0.049  19.570 0.022  20.099 0.019  19.390 0.043  19.089 0.032 19.033 0.046 3
2018/05/04 58242.98  20.771 0.134  19.654 0.050  20.124 0.054  19.476 0.031  19.200 0.050 18.999 0.078 6
2018/05/07 58245.98  20.820 0.104  19.781 0.028  20.478 0.033  19.538 0.013  19.313 0.061 19.021 0.090 6
2018/05/10 58248.48    -             -             -           19.66  0.62     -            -          - a
2018/05/13 58251.02  21.111 0.146  20.175 0.043  20.566 0.065  19.798 0.041  19.568 0.082 19.145 0.068 6
2018/05/15 58254.00  21.182 0.086  20.189 0.041  20.693 0.041  19.938 0.036  19.473 0.037 19.181 0.044 3
2018/05/17 58255.95  21.239 0.210  20.276 0.080  20.972 0.051  20.008 0.039  19.651 0.121 19.313 0.070 6
2018/05/22 58260.92 >21.2          20.468 0.120  21.261 0.373  20.140 0.087  19.985 0.116 19.498 0.118 6
2018/05/25 58263.05  21.714 0.111  20.559 0.105  21.343 0.046  20.356 0.071  20.092 0.082 19.728 0.071 3
2018/05/31 58269.02  22.048 0.164  20.986 0.060  21.813 0.062  20.608 0.024  20.257 0.121 19.910 0.093 3
2018/05/31 58269.94 >21.8         >20.9         >21.6         >20.7          20.332 0.275 19.900 0.267 6
2018/06/05 58274.05  22.189 0.128  21.106 0.070  21.898 0.073  20.907 0.032  20.567 0.114 19.917 0.060 3
2018/06/05 58274.91 >21.8          21.280 0.075  21.956 0.120  20.831 0.044  20.708 0.435 19.911 0.161 6
2018/06/10 58279.99 >21.8          21.454 0.193  22.124 0.147  21.304 0.123  20.712 0.258 20.258 0.235 6
2018/06/26 58295.97    -             -          >22.5          22.335 0.104 >21.8         20.996 0.226 3
2018/07/04 58303.97    -             -             -           22.865 0.221  21.866 0.379 21.414 0.211 3
