KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2060.28418946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.30462177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.32505398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.34548609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.3659184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.3863506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.40678281,17.08965,,,0.03679,17.08965,,,0.03679,16.84736,,,0.0326,16.67176,,,0.03075,16.5599,,,0.03068,16.59158,,,0.03472,16.79836,,,0.04608,17.22841,,,0.07451
2060.42721502,15.00193,,,0.00539,15.00193,,,0.00539,14.59446,,,0.00411,14.25532,,,0.00334,13.987,,,0.00289,13.81345,,,0.00271,13.69421,,,0.00266,13.61547,,,0.00269
2060.44764723,14.84303,,,0.0047,14.84303,,,0.0047,14.427,,,0.00356,14.08104,,,0.00287,13.80815,,,0.00247,13.63145,,,0.00231,13.50857,,,0.00226,13.42601,,,0.00228
2060.46807943,15.12087,,,0.00617,15.12087,,,0.00617,14.70084,,,0.00465,14.3525,,,0.00375,14.07951,,,0.00323,13.90589,,,0.00302,13.7876,,,0.00297,13.71,,,0.00301
2060.48851164,15.39583,,,0.00801,15.39583,,,0.00801,14.97523,,,0.00603,14.62846,,,0.00486,14.35986,,,0.0042,14.1955,,,0.00397,14.08998,,,0.00395,14.02539,,,0.00405
2060.50894385,15.77154,,,0.01089,15.77154,,,0.01089,15.34357,,,0.00814,14.99072,,,0.00653,14.71758,,,0.00562,14.55168,,,0.0053,14.4473,,,0.00528,14.38662,,,0.00543
2060.52937605,16.06667,,,0.01453,16.06667,,,0.01453,15.64592,,,0.01093,15.2999,,,0.00882,15.03462,,,0.00764,14.88164,,,0.0073,14.79577,,,0.00739,14.75615,,,0.00775
2060.54980826,16.36464,,,0.01928,16.36464,,,0.01928,15.9627,,,0.01476,15.63271,,,0.01208,15.38183,,,0.01061,15.24704,,,0.0103,15.18597,,,0.01068,15.17548,,,0.01151
2060.57024046,16.91367,,,0.03425,16.91367,,,0.03425,16.48201,,,0.02551,16.13345,,,0.02052,15.87322,,,0.01787,15.74804,,,0.0175,15.72073,,,0.01872,15.76615,,,0.02125
2060.59067277,17.19785,,,0.04061,17.19785,,,0.04061,16.81782,,,0.03171,16.51197,,,0.02653,16.29899,,,0.02413,16.24289,,,0.02518,16.31668,,,0.02956,16.4957,,,0.03794
2060.61110487,17.83677,,,0.07421,17.83677,,,0.07421,17.56034,,,0.06373,17.36127,,,0.05883,17.27275,,,0.05998,17.45536,,,0.078,18.15233,,,0.1626,,,,
2060.63153707,19.60149,,,0.3671,19.60149,,,0.3671,20.84592,,,1.27929,,,,,,,,,,,,,,,,,,,,
2060.65196938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.67240148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.69283378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.71326598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.73369808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.75413038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.77456258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.79499468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.81542698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.83585918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.85629128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060.87672358,16.771,,,0.02521,16.771,,,0.02521,16.37355,,,0.01938,16.04396,,,0.01587,15.81219,,,0.01418,15.72852,,,0.01443,15.75047,,,0.01614,15.83024,,,0.0189
2060.89715577,15.11814,,,0.00505,15.11814,,,0.00505,14.60786,,,0.00352,14.192,,,0.00267,13.87831,,,0.00222,13.69225,,,0.00205,13.56971,,,0.00201,13.48839,,,0.00202
2060.91758807,15.04105,,,0.00498,15.04105,,,0.00498,14.53667,,,0.00348,14.1253,,,0.00265,13.81382,,,0.00221,13.62731,,,0.00204,13.50238,,,0.00199,13.41907,,,0.00201
2060.93802017,15.27373,,,0.00649,15.27373,,,0.00649,14.76731,,,0.00452,14.3563,,,0.00345,14.05068,,,0.00288,13.87603,,,0.00269,13.76642,,,0.00267,13.69665,,,0.00272
2060.95845236,15.60953,,,0.0079,15.60953,,,0.0079,15.11375,,,0.00556,14.70747,,,0.00425,14.40059,,,0.00355,14.22082,,,0.0033,14.10627,,,0.00326,14.03326,,,0.00331
2060.97888466,15.94494,,,0.01027,15.94494,,,0.01027,15.44216,,,0.00718,15.03025,,,0.00546,14.7213,,,0.00455,14.54442,,,0.00424,14.43592,,,0.00421,14.36886,,,0.0043
2060.99931675,16.25981,,,0.01341,16.25981,,,0.01341,15.76056,,,0.0094,15.34986,,,0.00715,15.04346,,,0.00597,14.87413,,,0.00561,14.77792,,,0.00563,14.72386,,,0.00583
2061.01974895,16.46782,,,0.01565,16.46782,,,0.01565,15.9968,,,0.01125,15.60722,,,0.00872,15.32162,,,0.00742,15.17966,,,0.00716,15.11639,,,0.0074,15.09519,,,0.00789
2061.04018124,16.94113,,,0.02406,16.94113,,,0.02406,16.46875,,,0.01727,16.07496,,,0.01333,15.78641,,,0.01131,15.65038,,,0.01097,15.60553,,,0.01154,15.60848,,,0.01259
2061.06061344,17.41188,,,0.03568,17.41188,,,0.03568,16.98168,,,0.02661,16.61982,,,0.02115,16.35971,,,0.01842,16.26569,,,0.01856,16.29108,,,0.02084,16.38204,,,0.02465
2061.08104553,18.15327,,,0.07175,18.15327,,,0.07175,17.83833,,,0.05948,17.57341,,,0.05167,17.41874,,,0.04957,17.52981,,,0.06034,18.04164,,,0.10605,19.71184,,,0.53744
2061.10147782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.12190991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.14234221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.1627744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.18320649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.20363878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
