KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2060.28419005,12.36245,,,0.00147,,,,,12.39636,,,0.00125,12.37938,,,0.00135,12.36245,,,0.00147,12.35382,,,0.0016,12.35905,,,0.00176,12.37279,,,0.00193
2060.30462236,12.465,,,0.00159,,,,,12.49586,,,0.00135,12.48075,,,0.00147,12.465,,,0.00159,12.45742,,,0.00173,12.46469,,,0.00191,12.48048,,,0.00211
2060.32505457,12.55681,,,0.00175,,,,,12.58524,,,0.00148,12.57177,,,0.00161,12.55681,,,0.00175,12.54987,,,0.00191,12.55892,,,0.00211,12.57682,,,0.00233
2060.34548668,12.636,,,0.00191,,,,,12.66263,,,0.0016,12.65054,,,0.00175,12.636,,,0.00191,12.62938,,,0.00208,12.63986,,,0.0023,12.65966,,,0.00254
2060.36591899,12.70445,,,0.00201,,,,,12.72809,,,0.00168,12.71787,,,0.00184,12.70445,,,0.00201,12.6991,,,0.00219,12.71206,,,0.00243,12.73449,,,0.00269
2060.3863512,12.762,,,0.00213,,,,,12.78364,,,0.00178,12.77482,,,0.00195,12.762,,,0.00213,12.75721,,,0.00232,12.77123,,,0.00258,12.79473,,,0.00286
2060.40678341,12.81337,,,0.00223,,,,,12.8335,,,0.00187,12.8257,,,0.00205,12.81337,,,0.00223,12.80913,,,0.00244,12.82477,,,0.00271,12.85022,,,0.00302
2060.42721562,12.86076,,,0.00231,,,,,12.87997,,,0.00193,12.8728,,,0.00211,12.86076,,,0.00231,12.85683,,,0.00252,12.87328,,,0.00281,12.89959,,,0.00313
2060.44764782,12.9087,,,0.00242,,,,,12.92668,,,0.00202,12.92041,,,0.00221,12.9087,,,0.00242,12.90533,,,0.00265,12.92368,,,0.00295,12.9524,,,0.00329
2060.46808003,12.95486,,,0.0025,,,,,12.97196,,,0.00208,12.96632,,,0.00229,12.95486,,,0.0025,12.9522,,,0.00274,12.97278,,,0.00306,13.00431,,,0.00342
2060.48851224,12.99385,,,0.00263,,,,,13.01088,,,0.00219,13.00557,,,0.00241,12.99385,,,0.00263,12.99131,,,0.00288,13.0135,,,0.00322,13.04712,,,0.00361
2060.50894444,13.02641,,,0.00273,,,,,13.04253,,,0.00227,13.03773,,,0.00249,13.02641,,,0.00273,13.0239,,,0.00298,13.04568,,,0.00334,13.07876,,,0.00374
2060.52937665,13.04607,,,0.00276,,,,,13.06062,,,0.00229,13.05678,,,0.00253,13.04607,,,0.00276,13.04639,,,0.00303,13.0758,,,0.00341,13.11881,,,0.00386
2060.54980886,13.05534,,,0.0028,,,,,13.06943,,,0.00232,13.06588,,,0.00256,13.05534,,,0.0028,13.05588,,,0.00307,13.08581,,,0.00346,13.12943,,,0.00392
2060.57024106,13.06533,,,0.00312,,,,,13.07532,,,0.00258,13.07448,,,0.00285,13.06533,,,0.00312,13.07417,,,0.00345,13.1301,,,0.00398,13.20984,,,0.00466
2060.59067337,13.0747,,,0.00273,,,,,13.08791,,,0.00226,13.08478,,,0.00249,13.0747,,,0.00273,13.07581,,,0.003,13.1061,,,0.00338,13.14971,,,0.00382
2060.61110547,13.09209,,,0.00286,,,,,13.10557,,,0.00237,13.10249,,,0.00261,13.09209,,,0.00286,13.0931,,,0.00314,13.12464,,,0.00354,13.17039,,,0.00402
2060.63153767,13.08901,,,0.00281,,,,,13.10333,,,0.00233,13.09976,,,0.00257,13.08901,,,0.00281,13.08989,,,0.00309,13.12139,,,0.00348,13.16724,,,0.00395
2060.65196998,13.10104,,,0.00287,,,,,13.11546,,,0.00238,13.11187,,,0.00263,13.10104,,,0.00287,13.10212,,,0.00315,13.1342,,,0.00356,13.18083,,,0.00404
2060.67240208,13.14971,,,0.00296,,,,,13.1635,,,0.00245,13.16041,,,0.0027,13.14971,,,0.00296,13.15132,,,0.00325,13.18514,,,0.00367,13.2341,,,0.00418
2060.69283438,13.18151,,,0.00309,,,,,13.19454,,,0.00256,13.19204,,,0.00282,13.18151,,,0.00309,13.18356,,,0.0034,13.21913,,,0.00385,13.27044,,,0.00439
2060.71326658,13.1227,,,0.0029,,,,,13.13661,,,0.0024,13.13344,,,0.00265,13.1227,,,0.0029,13.12395,,,0.00318,13.15683,,,0.0036,13.20449,,,0.00409
2060.73369869,12.73755,,,0.00204,,,,,12.75857,,,0.0017,12.75024,,,0.00187,12.73755,,,0.00204,12.73526,,,0.00223,12.75501,,,0.00249,12.78596,,,0.00278
2060.75413099,12.34001,,,0.00142,,,,,12.36502,,,0.00119,12.35369,,,0.0013,12.34001,,,0.00142,12.33545,,,0.00154,12.34615,,,0.00171,12.36572,,,0.00189
2060.77456319,12.35583,,,0.00141,,,,,12.37972,,,0.00119,12.36902,,,0.0013,12.35583,,,0.00141,12.3519,,,0.00154,12.36344,,,0.0017,12.38379,,,0.00188
2060.79499529,12.45585,,,0.00148,,,,,12.47882,,,0.00125,12.46866,,,0.00136,12.45585,,,0.00148,12.45203,,,0.00162,12.46302,,,0.00179,12.4824,,,0.00198
2060.81542759,12.54544,,,0.00155,,,,,12.56908,,,0.0013,12.55872,,,0.00142,12.54544,,,0.00155,12.54047,,,0.00169,12.54962,,,0.00186,12.56726,,,0.00206
2060.83585978,12.62619,,,0.0017,,,,,12.64927,,,0.00143,12.63932,,,0.00156,12.62619,,,0.0017,12.62301,,,0.00186,12.63737,,,0.00206,12.66133,,,0.00229
2060.85629188,12.6945,,,0.0018,,,,,12.71736,,,0.00151,12.70764,,,0.00165,12.6945,,,0.0018,12.69169,,,0.00197,12.70737,,,0.00218,12.73302,,,0.00243
2060.87672418,12.74984,,,0.00191,,,,,12.7723,,,0.0016,12.76273,,,0.00176,12.74984,,,0.00191,12.74636,,,0.00209,12.75951,,,0.00232,12.78144,,,0.00257
2060.89715638,12.7996,,,0.00181,,,,,12.82404,,,0.00152,12.81309,,,0.00166,12.7996,,,0.00181,12.79496,,,0.00198,12.80522,,,0.00219,12.82416,,,0.00242
2060.91758868,12.85113,,,0.00203,,,,,12.87498,,,0.0017,12.86455,,,0.00186,12.85113,,,0.00203,12.84942,,,0.00222,12.86851,,,0.00247,12.89883,,,0.00277
2060.93802077,12.89822,,,0.00229,,,,,12.92136,,,0.00192,12.91167,,,0.0021,12.89822,,,0.00229,12.89723,,,0.00251,12.91935,,,0.00281,12.95316,,,0.00315
