System,Period (days),V,Spectral type,Mass (Msun),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),[M/H],,,B-V,Sec Spectral type,Sec Mass (Msun ),Sec Radius (Rsun),Sec Surface gravity (cgs),Sec Log Teff (K),Sec log (L/Lsun),(dex),
V3903 Sgr,1.744,7.27,O7_V,27.27 ± 0.55,8.088 ± 0.086,4.058 ± 0.016,4.580 ± 0.021,5.087 ± 0.029,,,,0.06,O9_V,19.01 ± 0.44,6.125 ± 0.060,4.143 ± 0.013,4.531 ± 0.021,4.658 ± 0.032,,
V467 Vel,2.753,10.9,O6_Vf,25.3 ± 0.7,9.99 ± 0.09,3.842 ± 0.016,4.559 ± 0.031,5.187 ± 0.126,,,,0,B1_V,8.25 ± 0.17,3.49 ± 0.03,4.268 ± 0.017,4.402 ± 0.046,3.649 ± 0.110,,
CC Cas,3.366,7.08,O8.5_III,23.49 ± 0.92,10.87 ± 0.18,3.736 ± 0.013,4.538 ± 0.025,5.179 ± 0.053,,,,0.48,B0.5_V,9.95 ± 0.34,6.84 ± 0.18,3.766 ± 0.022,4.452 ± 0.031,4.474 ± 0.064,,
EM Car,3.414,8.38,O8_V,22.89 ± 0.32,9.35 ± 0.17,3.856 ± 0.017,4.531 ± 0.026,5.02 ± 0.10,,,,-0.31,O8_V,21.43 ± 0.33,8.34 ± 0.14,3.926 ± 0.016,4.531 ± 0.026,4.92 ± 0.10,,
δ Cir,3.902,5.09,O7_IV,20.00 ± 0.50,9.256 ± 0.091,3.806 ± 0.007,4.574 ± 0.010,5.184 ± 0.070,,,,-0.06,O9.5_V,11.41 ± 0.24,5.326 ± 0.091,4.043 ± 0.014,4.519 ± 0.013,4.339 ± 0.090,,
DN Cas,2.311,9.93,O8_V,19.04 ± 0.07,7.22 ± 0.06,4.000 ± 0.009,4.507 ± 0.014,4.70 ± 0.06,,,,0.53,B0.2_V,13.73 ± 0.05,5.79 ± 0.06,4.270 ± 0.010,4.447 ± 0.017,4.27 ± 0.08,,
V1292 Sco,4.24,7.57,O9.5_III,18.64 ± 0.47,9.40 ± 0.15,3.762 ± 0.018,4.490 ± 0.014,,,,,0.14,B1-2_IV,7.70 ± 0.12,3.69 ± 0.06,4.190 ± 0.016,4.336 ± 0.020,,,
Y Cyg,2.996,7.32,O9.8_V,17.72 ± 0.35,5.785 ± 0.091,4.161 ± 0.014,4.521 ± 0.003,,0,,,-0.09,O9.8_V,17.73 ± 0.30,5.816 ± 0.063,4.157 ± 0.010,4.525 ± 0.003,,± 0.00,
AH Cep,1.775,6.81,B0.5_V,16.14 ± 0.26,6.51 ± 0.10,4.019 ± 0.012,4.487 ± 0.008,4.53 ± 0.03,0,,,0.3,B0.5_V,13.69 ± 0.21,5.64 ± 0.11,4.073 ± 0.018,4.459 ± 0.008,4.30 ± 0.04,± 0.00,
V478 Cyg,2.881,8.63,O9.5_V,15.40 ± 0.38,7.26 ± 0.09,3.904 ± 0.009,4.507 ± 0.007,4.70 ± 0.03,0,,,-0.29,O9.5_V,15.02 ± 0.35,7.15 ± 0.09,3.907 ± 0.010,4.502 ± 0.008,4.67 ± 0.04,± 0.00,
